iteration,seed,accuracy_train,accuracy_test,loss_train,loss_test,gen_error_accuracy,gen_error_loss,beta,frobenius1,frobenius2,bound,regularization,n_per_Phase
1,11122,0.75,0.415,3.622357941031324,3.6413686712940367,0.335,0.0190107302627127,2.408980725754648,21.213644276274568,1.629892712643554,51.25387460880064,1.2810461588469015,[1 1 2 4]
4,11155,0.875,0.567,14.110446744730195,14.121233649473783,0.308,0.0107869047435897,2.164185087033489,22.293870233551928,1.5792918125747426,48.368970838329055,6.269644696061319,[0 2 3 3]
12,11243,0.75,0.347,10.59767668111507,10.613987596900902,0.403,0.0163109157858318,2.22990422969027,20.238671747683505,1.6920236715591712,45.28774520700228,4.510511289486025,[1 0 1 6]
14,11265,0.75,0.367,6.009589227287939,6.032553152843444,0.383,0.0229639255555049,1.7983199071317424,19.84588933565231,1.958711460749014,35.86265964884511,3.04290314036274,[1 1 1 5]
15,11276,0.75,0.33,23.474116855416824,23.5375148776407,0.42,0.0633980222238754,2.9219660625872304,21.907977767851524,1.9439252597528107,64.26587431414679,7.869301627171255,[1 1 0 6]
18,11309,0.75,0.322,2.637267027242448,2.6619456275915243,0.428,0.0246786003490764,1.80343991836036,21.488531459514626,1.3969004661994766,38.835072496564,1.1642463532382985,[1 0 1 6]
20,11331,0.75,0.501,5.480939960107524,5.492879068387566,0.249,0.0119391082800417,2.2702835088039763,13.295241289727391,1.3793772513610365,30.345982333553422,2.1770632891630446,[0 0 1 7]
21,11342,0.875,0.449,3.158399668895946,3.164854319540761,0.426,0.006454650644815,1.394425213183662,21.66039140178161,0.969862329431818,30.23405817493644,1.868985980036077,[0 0 0 8]
23,11364,0.875,0.426,8.673866564037045,8.69476816036088,0.449,0.020901596323835,3.163403290575042,21.038623292138432,1.9133577566057345,66.82831581600122,2.5725583418372104,[1 1 2 4]
28,11419,0.875,0.412,0.2938433187183326,0.5415798972520673,0.463,0.2477365785337347,20.96678200183005,22.348656210863997,3.766297704166983,475.1867700131273,0.0011555243774776,[0 2 2 4]
32,11463,0.75,0.433,3.0956831546684302,3.100669942476488,0.317,0.0049867878080576,1.4614338361439012,22.157525387190223,0.5236031797136586,32.39079739703519,1.7394469892994688,[0 2 2 4]
36,11507,0.75,0.403,2.4441868859659137,2.4572311207859925,0.347,0.0130442348200787,1.9515519788126612,20.762627644127388,1.6486564512906243,40.64688670349331,0.9766693696683636,[0 1 0 7]
45,11606,0.75,0.471,8.938976152596119,8.948108872643365,0.279,0.0091327200472459,2.125887288930583,21.592078594602484,1.1526313761635258,45.96768174654698,3.947275676895926,[1 4 1 2]
46,11617,0.75,0.491,17.336366016521183,17.353744288549347,0.259,0.0173782720281643,1.8610077866017096,21.517447425159933,1.2861173425919896,40.11560350069812,9.029961071543257,[2 0 3 3]
