iteration,seed,accuracy_train,accuracy_test,loss_train,loss_test,gen_error_accuracy,gen_error_loss,beta_PM,W1_F_sq,W2_F_sq,complexity,regularization,n_per_Phase
1,11122,0.75,0.498,0.8710428730149562,0.9216511615411376,0.252,0.0506082885261813,2.904494017542397,0.133020863848508,0.1635502872525782,1.5817394181441895,0.1601307698558627,[1 1 2 4]
5,11166,0.75,0.424,1.2305472685306644,1.3210773948213808,0.326,0.0905301262907163,2.9795820145623115,0.1414118581872704,0.4489973500889459,2.2894539115076364,0.1544608891374704,[0 5 2 1]
8,11199,0.75,0.349,0.4882216315214183,0.6432930848918683,0.401,0.15507145337045,2.972030059312355,0.3751400112730232,0.5890546220837226,2.9183377471408143,0.0174062256124682,[0 4 2 2]
11,11232,0.75,0.456,1.8765071051311537,1.89829942036167,0.294,0.0217923152305163,2.892820733598652,0.1789173083479883,0.1712216412539916,1.7117555071758188,0.4638975473852835,[1 1 1 5]
14,11265,0.75,0.437,2.6098177537601432,2.667980591888074,0.313,0.0581628381279308,2.959543844912321,0.1671956805402275,0.4843605426083243,2.388915162380368,0.3803628925453425,[1 1 1 5]
18,11309,0.75,0.393,0.8178879390856144,0.9044699552128772,0.357,0.0865820161272628,2.922315689642262,0.1239258576056343,0.1729720834759367,1.5923213664624485,0.1455307941547873,[1 0 1 6]
20,11331,0.875,0.471,1.279771780284649,1.3250396363030388,0.404,0.0452678560183896,2.853226062201783,0.1585188304695337,0.1974276302964507,1.7022702996255217,0.2721329111453806,[0 0 1 7]
21,11342,1.0,0.533,1.189704822931858,1.309213586456468,0.4669999999999999,0.1195087635246099,2.952337822568831,0.1423186288914622,0.2452891646302319,1.838071074583431,0.2336232475045096,[0 0 0 8]
22,11353,1.0,0.555,0.2827666352664625,0.4740812129373615,0.4449999999999999,0.191314577670899,2.986237239069029,0.882544146415076,0.5429088436246703,3.56533839883428,0.0031962734283528,[0 4 0 4]
26,11397,0.75,0.45,2.2044465152718664,2.342297355753608,0.3,0.1378508404817418,2.9595432749671806,0.17132886919183,0.2508013498501401,1.9228611115677896,0.4907333747252176,[0 0 1 7]
28,11419,0.75,0.335,0.2337650292045564,0.5524800523828666,0.415,0.3187150231783101,4.880711789132777,0.9787219910100508,0.2795378569207564,5.474800925070057,0.0001444405471847,[0 2 2 4]
29,11430,0.75,0.482,0.7207710566191129,0.7614269939760876,0.268,0.0406559373569747,2.972891883848729,0.1555365367661052,0.3683918782981537,2.1518653467098656,0.0562875341092812,[1 2 1 4]
30,11441,0.75,0.433,1.4867078796980384,1.5190267609714043,0.317,0.0323188812733659,3.0052364292271894,0.181869313382452,0.3779457809838491,2.248541703474792,0.2081295169449415,[0 3 2 3]
32,11463,0.75,0.508,1.290122711775226,1.3010809797336864,0.242,0.0109582679584603,2.937930279410419,0.1686344608486483,0.2437161477635866,1.886578171664674,0.2174308736624336,[0 2 2 4]
34,11485,0.75,0.409,4.42154677632237,4.5188618183576725,0.341,0.0973150420353023,3.0520524871418804,0.1139035716644763,0.4345977708562079,2.260376822652458,0.779688439106289,[2 2 1 3]
35,11496,0.75,0.385,1.4495951348974276,1.4837941509648105,0.365,0.0341990160673828,2.955864253135921,0.107681342276221,0.3003216475257598,1.88806159416197,0.2599452453517428,[1 0 0 7]
36,11507,0.875,0.519,0.8112514744233621,0.9368844993624428,0.356,0.1256330249390808,2.884689913798118,0.2097011364201673,0.2173791772244027,1.885184726656588,0.1220836712085454,[0 1 0 7]
42,11573,0.75,0.525,3.047146170552196,3.0700846851226267,0.2249999999999999,0.0229385145704306,2.979638177648973,0.1385318467915326,0.5181245978063671,2.414530165978709,0.4347786448624246,[1 1 3 3]
43,11584,0.875,0.637,2.01407817801819,2.043185112607116,0.238,0.0291069345889258,2.940263281546566,0.1471597236716244,0.323094924700794,2.016288945159063,0.3978915243781423,[1 1 1 5]
46,11617,0.75,0.477,3.884618265297418,3.8937281864010815,0.273,0.0091099211036644,2.940602563506816,0.1250145894774882,0.2175619611618822,1.7211358375680348,1.1287451339429069,[2 0 3 3]
52,11683,0.875,0.389,2.2389195317262507,2.316098086117379,0.486,0.0771785543911285,2.9438628237276743,0.1925126043546799,0.2202709392148236,1.8913798443727965,0.4947177069799955,[0 2 0 6]
54,11705,0.75,0.594,2.0862538687296275,2.13931556233668,0.156,0.0530616936070527,2.9403067909770213,0.2678843503156617,0.2432712458027323,2.102176645317126,0.3699154941978244,[1 1 0 6]
57,11738,0.75,0.344,2.025164177897007,2.108890385004196,0.406,0.0837262071071882,2.9320114174931984,0.1421901440074547,0.2482524731885926,1.8320792872159444,0.465337236137974,[0 1 0 7]
59,11760,0.875,0.61,0.9070311940720084,0.9563328474447526,0.265,0.0493016533727441,2.9402740922614283,0.1372785729975745,0.2314168683877057,1.7853431483813975,0.1337869562094117,[1 1 0 6]
62,11793,0.75,0.346,2.451646594027698,2.5255506313552,0.404,0.0739040373275021,2.937331846890462,0.1448311278225993,0.3133460482224353,1.988244270185609,0.5036169626048332,[0 2 4 2]
65,11826,0.75,0.525,1.2959166663553103,1.3200846978853766,0.2249999999999999,0.0241680315300663,2.9580616529503114,0.1414450290726,0.3075439462755305,1.982097711599747,0.199010142504686,[0 1 1 6]
66,11837,0.75,0.419,2.3302368340950004,2.370862169424093,0.331,0.0406253353290924,2.8848176052122847,0.151629939450089,0.1546661027430683,1.5965739990766976,0.7208598776084424,[0 2 2 4]
67,11848,0.75,0.663,3.4489266917626424,3.4575889822063712,0.0869999999999999,0.0086622904437287,2.977121739713305,0.1396057658379874,0.2531166990297786,1.865689925986572,0.8474852113273926,[0 1 2 5]
68,11859,0.75,0.436,2.209862786521636,2.2708037321712,0.314,0.0609409456495644,2.967091206444929,0.1387478147669271,0.2969756150086022,1.9585576216037288,0.4502916867612509,[0 0 2 6]
71,11892,0.75,0.396,1.9553596112724343,1.997845309525759,0.354,0.0424856982533241,2.92406216003654,0.1233040639422457,0.1555072393100102,1.5439804213062338,0.6074836155024935,[1 1 1 5]
72,11903,0.75,0.387,0.4751866802290709,0.6589947110350526,0.363,0.1838080308059816,2.9709247011050444,0.3824404714085287,0.3052160150776163,2.463640963557074,0.022303331781035,[1 3 1 3]
75,11936,0.75,0.432,0.8276326967630054,0.8752678820743616,0.318,0.0476351853113561,2.9212266757565937,0.1438593710975615,0.1477533095476742,1.5774967036459866,0.1297102734902206,[0 2 1 5]
76,11947,0.75,0.264,0.6875334351814397,0.8298106256732489,0.486,0.1422771904918092,3.0090544947845697,0.2315015789803427,0.5090631658590824,2.5894740886213943,0.043571460370041,[0 3 0 5]
78,11969,0.75,0.542,1.6545137022979783,1.7060713608181848,0.2079999999999999,0.0515576585202064,2.89486067804722,0.1633590262784955,0.2717510745452437,1.909533359004282,0.3270395202328072,[0 3 0 5]
83,12024,0.75,0.523,0.8671113993084595,0.879901656031401,0.2269999999999999,0.0127902567229415,2.880575993697146,0.1123562493406155,0.1512696932073733,1.479017830646149,0.1516830646112444,[1 1 1 5]
84,12035,0.875,0.364,2.8661309917911617,2.888349422155964,0.511,0.0222184303648016,2.9655461848455875,0.1499299906429217,0.3241083757998209,2.041791720767952,0.5619839119235279,[0 2 3 3]
85,12046,0.75,0.368,2.516742909301425,2.616658099879202,0.382,0.0999151905777768,2.9289016683577858,0.1788322897352436,0.2742460500852602,1.971475760100729,0.5290302517903693,[0 3 0 5]
87,12068,0.75,0.421,1.2848165410436914,1.3228728958934368,0.329,0.0380563548497454,2.994708196585478,0.1112683793935601,0.2569349026907651,1.8171816346504064,0.2358930776155256,[0 4 3 1]
88,12079,0.75,0.491,1.895528319184938,1.922541968120551,0.259,0.0270136489356125,2.9422603999244767,0.1516031393793076,0.2070536046369971,1.7620596545645608,0.4741100955083057,[1 2 0 5]
